"PERIOD_REF";"REGION";"INDICATORS";"UNIT_MES";VALUE;"STATUS"
"2019";"EST";"Ind_06_12";"UM_2";4.3;"A"
"2019";"EST";"Ind_16_01";"UM_2";2.3;"A"
"2018";"EST";"Ind_17_01";"UM_20";4.8;"A"
"2018";"EST";"Ind_17_02";"UM_2";2.1;"A"
"2018";"EST";"Ind_17_03";"UM_2";18.4;"A"
"2018";"EST";"Ind_17_04";"UM_2";0;"A"
"2019";"EST";"Ind_09_03";"UM_22";27.22166757;"A"
"2019";"EST";"Ind_09_04";"UM_23";4.200539294;"A"
"2018";"EST";"Ind_10_04";"UM_24";563;"A"
"2018";"EST";"Ind_10_05";"UM_25";51;"A"
"2018";"EST";"Ind_10_06";"UM_26";154;"A"
"2018";"EST";"Ind_10_07";"UM_26";2140;"A"
"2018";"EST";"Ind_11_02";"UM_2";16.4;"A"
"2018";"EST";"Ind_12_02";"UM_21";457.35;"A"
"2018";"EST";"Ind_12_05";"UM_2";4.908;"A"
"2018";"EST";"Ind_12_06";"UM_4";1.600890931;"A"
"2019";"EST";"Ind_13_05";"UM_2";29.4;"A"
"2019";"EST";"Ind_13_06";"UM_2";41.4;"A"
"2017";"EST";"Ind_13_07";"UM_2";;"O"
"2018";"EST";"Ind_13_08";"UM_2";1.41;"A"
"2019";"EST";"Ind_18_01";"UM_2";10.3;"A"
"2019";"EST";"Ind_18_02";"UM_2";9.1;"A"
"2018";"EST";"Ind_18_03";"UM_17";13378;"A"
"2019";"EST";"Ind_18_04";"UM_2";14.2;"A"
"2018";"EST";"Ind_19_01";"UM_2";21.8;"A"
"2018";"EST";"Ind_19_02";"UM_2";58.7;"A"
"2020";"EST";"Ind_19_03";"UM_2";28.71;"A"
"2019";"IRL";"Ind_01_01";"UM_1";4904.24;"A"
"2018";"IRL";"Ind_01_03";"UM_3";70.9;"A"
"2019";"IRL";"Ind_01_04";"UM_2";27.47385719;"A"
"2019";"IRL";"Ind_01_06";"UM_2";14.3143455;"A"
"2019";"IRL";"Ind_01_13";"UM_2";12.67000691;"A"
"2018";"IRL";"Ind_01_14";"UM_4";12.44270264;"A"
"2018";"IRL";"Ind_01_15";"UM_2";37.85847727;"A"
"2018";"IRL";"Ind_01_16";"UM_18";84.1;"A"
"2018";"IRL";"Ind_01_17";"UM_18";80.5;"A"
"2009";"IRL";"Ind_04_01";"UM_7";69797;"A"
"2009";"IRL";"Ind_04_08";"UM_2";3.697866671;"A"
"2009";"IRL";"Ind_04_09";"UM_2";74.09200969;"A"
"2009";"IRL";"Ind_04_10";"UM_2";10.77696749;"A"
"2019";"IRL";"Ind_04_11";"UM_2";6.2;"A"
"2019";"IRL";"Ind_04_12";"UM_19";24.1;"A"
