"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"UR";"Ind_01_07";"UM_2";88.5894886;"A";
"2019";;"UR";"Ind_01_08";"UM_2";12.58480233;"A";
"2019";;"UR";"Ind_01_09";"UM_4";4.785604901;"A";
"2019";;"UR";"Ind_01_10";"UM_4";1.285276745;"A";
"2019";;"UR";"Ind_01_11";"UM_4";9.352439291;"A";
"2019";;"UR";"Ind_01_12";"UM_4";8.395318311;"A";
"2019";;"UR";"Ind_01_13";"UM_5";15.499;"A";
"2019";;"UR";"Ind_01_14";"UM_6";2.31202013;"A";
"2019";;"UR";"Ind_02_01";"UM_2";93.42545789;"A";
"2019";;"UR";"Ind_02_02";"UM_2";;"Q";
"2019";;"UR";"Ind_02_03";"UM_2";1.402445808;"U";
"2019";;"UR";"Ind_02_04";"UM_2";;"Q";
"2019";;"UR";"Ind_02_05";"UM_2";3.292194578;"U";
"2019";;"UR";"Ind_03_01";"UM_2";74.82111206;"A";
"2019";;"UR";"Ind_03_02";"UM_2";5.031838771;"U";
"2019";;"UR";"Ind_03_03";"UM_2";14.73445808;"A";
"2004/2009";;"UR";"Ind_04_01";"UM_7";1076.3;"A";
"2004/2009";;"UR";"Ind_04_02";"UM_2";1.855430642;"A";
"1979/1985";"2004/2009";"UR";"Ind_04_03";"UM_2";23.57673267;"A";
"2004/2009";;"UR";"Ind_04_04";"UM_2";24.17634489;"A";
"1979/1985";"2004/2009";"UR";"Ind_04_05";"UM_2";-5.518643576;"A";
"2004/2009";;"UR";"Ind_04_06";"UM_2";20.09848555;"A";
"2004/2009";;"UR";"Ind_04_07";"UM_2";53.86973892;"A";
"2019";;"UR";"Ind_05_01";"UM_2";79.7;"A";
"2020";;"UR";"Ind_05_02";"UM_2";1.4;"A";
"2018";;"UR";"Ind_06_01";"UM_8";54290.76041;"A";"P"
"2017/2018";;"UR";"Ind_06_02";"UM_2";3.42883327;"A";"P"
"2018";;"UR";"Ind_06_03";"UM_5";18.853;"A";
"2018";;"UR";"Ind_06_04";"UM_5";1.505;"A";
"2018";;"UR";"Ind_06_05";"UM_5";5.409;"A";
"2018";;"UR";"Ind_06_06";"UM_5";11.939;"A";
"2018";;"UR";"Ind_06_07";"UM_9";2798;"A";
"2018";;"UR";"Ind_06_08";"UM_9";587;"A";
"2018";;"UR";"Ind_06_09";"UM_9";411;"A";
"2018";;"UR";"Ind_06_10";"UM_9";1800;"A";
"2019";;"UR";"Ind_07_01";"UM_2";15.39067435;"A";
"2019";;"UR";"Ind_07_02";"UM_10";12.3790533;"A";
"2020";;"UR";"Ind_08_01";"UM_2";1.429702187;"A";
"2019";;"UR";"Ind_08_02";"UM_2";42.9;"A";
"2019";;"UR";"Ind_08_03";"UM_11";46.7;"A";
"2018";;"UR";"Ind_08_04";"UM_12";9.83498168;"A";
"2019";;"UR";"Ind_09_01";"UM_5";165.952;"A";
"2019";;"UR";"Ind_09_02";"UM_5";297.279;"A";
"2019";;"UR";"Ind_10_01";"UM_12";554.22282;"A";
"2019";;"UR";"Ind_10_02";"UM_2";11.67040507;"A";
"2019";;"UR";"Ind_10_03";"UM_2";63.12838105;"A";
"2019";;"UR";"Ind_11_01";"UM_2";1.21593;"A";
"2019";;"UR";"Ind_12_01";"UM_13";114;"A";
"2019";;"UR";"Ind_12_02";"UM_12";1.6;"A";
"2019";;"UR";"Ind_12_03";"UM_12";143.4;"A";
"2019";;"UR";"Ind_12_04";"UM_14";4.8;"A";
"2019";;"UR";"Ind_13_01";"UM_2";24.87808566;"A";
"2019";;"UR";"Ind_13_02";"UM_2";52.87869051;"A";
"2019";;"UR";"Ind_13_03";"UM_2";22.24322383;"A";
"2019";;"UR";"Ind_13_04";"UM_2";24.21;"A";
"2019";;"UR";"Ind_14_01";"UM_2";;"M";
"2019";;"UR";"Ind_14_02";"UM_2";39.20502092;"A";
"2019";;"UR";"Ind_14_03";"UM_2";22.25104603;"A";
"2019";;"UR";"Ind_14_04";"UM_2";36.32635983;"A";
"2019";;"UR";"Ind_14_05";"UM_2";;"M";
"2019";;"UR";"Ind_14_06";"UM_2";;"M";
"2019";;"UR";"Ind_14_07";"UM_2";;"M";
"2019";;"UR";"Ind_14_08";"UM_2";;"M";
"2019";;"UR";"Ind_14_09";"UM_2";;"M";
"2019";;"UR";"Ind_14_10";"UM_2";;"M";
"2019";;"UR";"Ind_15_01";"UM_15";18.80163588;"A";
"2019";;"UR";"Ind_15_02";"UM_15";1.59196333;"A";
"2019";;"UR";"Ind_15_03";"UM_15";2.333049708;"A";
"2019";;"SZ";"Ind_01_01";"UM_1";160.48;"A";
"2010/2019";;"SZ";"Ind_01_02";"UM_2";9.370953452;"A";
"2019";;"SZ";"Ind_01_03";"UM_3";188.5094736;"A";
"2019";;"SZ";"Ind_01_04";"UM_2";19.28215354;"A";
"2019";;"SZ";"Ind_01_05";"UM_2";62.56542871;"A";
"2019";;"SZ";"Ind_01_06";"UM_2";18.15241775;"A";
"2019";;"SZ";"Ind_01_07";"UM_2";82.05072283;"A";
"2019";;"SZ";"Ind_01_08";"UM_2";21.87998504;"A";
"2019";;"SZ";"Ind_01_09";"UM_4";4.611365734;"A";
"2019";;"SZ";"Ind_01_10";"UM_4";1.920880977;"A";
"2019";;"SZ";"Ind_01_11";"UM_4";9.610661828;"A";
